Wed Feb 19 19:18:35 2025 [ServerEventAutomation] playerEvent Marty (account_id: 49, oid: 281475004491169, played: 46m 29s, session: 9m 30s) on corellia at -76 -4602 - playerLoggedOut
Wed Feb 19 19:18:50 2025 [ServerEventAutomation] playerEvent Nice (account_id: 45, oid: 281475004482271, played: 5m 6s, session: 0s) on tatooine at 3523 -4803 - playerLoggedIn
Wed Feb 19 19:18:53 2025 [ServerEventAutomation] playerEvent BlazinYou (account_id: 49, oid: 281475004409813, played: 2h 1m 59s, session: 0s) on naboo at 1368 2750 - playerLoggedIn
Wed Feb 19 19:20:08 2025 [ServerEventAutomation] playerEvent Nice (account_id: 45, oid: 281475004482271, played: 6m 23s, session: 1m 16s) on tatooine at 3525 -4805 - playerLoggedOut
Wed Feb 19 19:21:56 2025 [ServerEventAutomation] playerEvent Girly (account_id: 49, oid: 281475004419622, played: 1h 51m 19s, session: 0s) on corellia at -178 -5649 - playerLoggedIn
Wed Feb 19 19:25:27 2025 [ServerEventAutomation] playerEvent Kathandris (account_id: 39, oid: 281475003580374, played: 10h 33m 1s, session: 34m 2s) on corellia at -127 -5626 - playerLoggedOut
Wed Feb 19 19:27:57 2025 [ServerEventAutomation] playerEvent Jaybad (account_id: 53, oid: 281475004497288, played: 1s, session: 0s) on tutorial at 893 1293 - playerLoggedIn
Wed Feb 19 19:32:49 2025 [ServerEventAutomation] playerEvent wyatt (account_id: 46, oid: 281475004349354, played: 2h 54m 29s, session: 20m 55s) on naboo at 4880 6064 - playerLoggedOut
Wed Feb 19 19:32:52 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 4h 37m 51s, session: 0s) on naboo at 4871 6064 - playerLoggedIn
Wed Feb 19 19:38:30 2025 [ServerEventAutomation] playerEvent Isa'Bella (account_id: 39, oid: 281475003589678, played: 17h 15m 11s, session: 1h 47m 50s) on corellia at -132 -5625 - playerLoggedOut
Wed Feb 19 19:39:31 2025 [ServerEventAutomation] playerEvent Jasmine (account_id: 39, oid: 281475004350157, played: 3h 48m 34s, session: 1h 3m 16s) on corellia at -133 -5622 - playerLoggedOut
Wed Feb 19 19:41:21 2025 [ServerEventAutomation] playerEvent Row'ena (account_id: 39, oid: 281475003584246, played: 1d 2h 18m 1s, session: 1h 59m 22s) on corellia at -134 -5629 - playerLoggedOut
Wed Feb 19 19:48:53 2025 [ServerEventAutomation] playerEvent Agatha (account_id: 49, oid: 281475004495276, played: 1m 36s, session: 0s) on tutorial at 4476 1921 - playerLoggedIn
Wed Feb 19 19:49:26 2025 [ServerEventAutomation] playerEvent Jaybad (account_id: 53, oid: 281475004497288, played: 21m 26s, session: 21m 25s) on corellia at -476 -4498 - playerLoggedOut
Wed Feb 19 19:50:06 2025 [ServerEventAutomation] playerEvent Nice (account_id: 45, oid: 281475004482271, played: 6m 24s, session: 0s) on tatooine at 3525 -4805 - playerLoggedIn
Wed Feb 19 19:50:28 2025 [ServerEventAutomation] playerEvent Nice (account_id: 45, oid: 281475004482271, played: 6m 45s, session: 21s) on tatooine at 3525 -4805 - playerLoggedOut
Wed Feb 19 19:51:07 2025 [ServerEventAutomation] playerEvent Agatha (account_id: 49, oid: 281475004495276, played: 3m 50s, session: 2m 13s) on naboo at -4865 4164 - playerLoggedOut
Wed Feb 19 19:51:49 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 4h 56m 47s, session: 18m 56s) on naboo at 4875 6102 - playerLoggedOut
Wed Feb 19 19:51:52 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 4h 56m 48s, session: 0s) on naboo at 4875 6102 - playerLoggedIn
Wed Feb 19 19:54:11 2025 [ServerEventAutomation] playerEvent Bridge (account_id: 49, oid: 281475004498975, played: 1s, session: 0s) on tutorial at 1033 911 - playerLoggedIn
Wed Feb 19 19:59:25 2025 [ServerEventAutomation] playerEvent Bridge (account_id: 49, oid: 281475004498975, played: 5m 14s, session: 5m 13s) on naboo at -4958 4118 - playerLoggedOut
Wed Feb 19 19:59:32 2025 [ServerEventAutomation] playerEvent BlazinYou (account_id: 49, oid: 281475004409813, played: 2h 42m 33s, session: 40m 34s) on naboo at 1368 2750 - playerLoggedOut
Wed Feb 19 20:04:37 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 5h 9m 32s, session: 12m 44s) on naboo at 4875 6102 - playerLoggedOut
Wed Feb 19 20:04:40 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 5h 9m 33s, session: 0s) on naboo at 4875 6102 - playerLoggedIn
Wed Feb 19 20:10:47 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 5h 15m 41s, session: 6m 7s) on naboo at 4883 6096 - playerLoggedOut
Wed Feb 19 20:26:24 2025 [ServerEventAutomation] playerEvent Madrox (account_id: 46, oid: 281475004227767, played: 3h 43m 22s, session: 0s) on naboo at 4883 6065 - playerLoggedIn
Wed Feb 19 20:28:24 2025 [ServerEventAutomation] playerEvent Madrox (account_id: 46, oid: 281475004227767, played: 3h 45m 22s, session: 1m 59s) on naboo at 4883 6064 - playerLoggedOut
Wed Feb 19 20:28:28 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 5h 15m 42s, session: 0s) on naboo at 4883 6096 - playerLoggedIn
Wed Feb 19 20:32:16 2025 [ServerEventAutomation] playerEvent Diana (account_id: 46, oid: 281475004346318, played: 5h 19m 29s, session: 3m 47s) on naboo at 4884 6094 - playerLoggedOut
Wed Feb 19 20:37:11 2025 [ServerEventAutomation] playerEvent Abaddon (account_id: 52, oid: 281475004487606, played: 3h 4m 32s, session: 3h 4m 31s) on naboo at 5312 6429 - playerLoggedOut
Wed Feb 19 20:38:01 2025 [ServerEventAutomation] playerEvent Abaddon (account_id: 52, oid: 281475004487606, played: 3h 4m 33s, session: 0s) on naboo at 5312 6429 - playerLoggedIn
Wed Feb 19 20:39:29 2025 [ServerEventAutomation] playerEvent Icelynn (account_id: 46, oid: 281475004408755, played: 5h 19m 56s, session: 4h 37m 57s) on naboo at 4868 6094 - playerLoggedOut
Wed Feb 19 20:39:36 2025 [ServerEventAutomation] playerEvent Madrox (account_id: 46, oid: 281475004227767, played: 3h 45m 23s, session: 0s) on naboo at 4883 6064 - playerLoggedIn
